word1,count
on,16162
his,5234
return,281
he,7387
offered,154
me,8356
first,3012
the,104217
half,652
pint,40
glass,274
mmm,9
lovely,439
obviously,168
put,1264
beers,198
in,32990
wrong,369
glasses,62
this,15088
was,15844
a,52474
delightful,36
allagash,3
flexus,1
french,247
style,426
farmhouse,12
ale,179
would,4681
do,5285
very,2897
nicely,68
for,21552
start,877
however,788
i,48532
soon,613
to,59652
learn,391
that,24083
choice,292
and,63921
my,17004
beer,734
indeed,168
third,288
wow,134
absolutely,232
gorgeous,180
knows,310
so,10395
well,2940
some,5509
frequently,86
asked,599
questions,299
about,6404
list,552
how,3874
include,241
others,675
emo,7
sets,139
up,6605
laptop,68
luckily,90
wasn't,540
near,300
computer,252
while,1997
composed,22
barbed,9
little,3159
post,1286
head,796
response,134
person,716
because,2943
you,17521
know,3342
what,6029
it,23633
really,2936
bothers,8
when,5749
somebody,51
listens,9
birth,140
story,981
woman,406
shares,52
mocks,4
will,6708
be,11478
mailing,16
cousin,56
kelly,40
hang,131
her,6036
studio,142
even,2795
though,1214
daryl,2
is,23841
actually,1001
nd,122
called,794
aunt,52
kim,39
miss,333
him,2470
much,2865
heart,694
forever,191
gave,459
best,1313
hugs,53
from,8585
bondless,1
ocean,85
no,3758
collateral,11
demanded,20
time,5344
late,350
last,2243
year,2188
got,1954
an,5907
email,243
editor,85
at,9972
quirk,2
books,746
publishing,138
company,398
pride,73
prejudice,16
zombies,26
creepy,30
cute,338
crochet,26
witch,29
craft,244
asking,189
contribution,28
their,4760
new,3354
book,1616
micro,20
crafts,64
due,351
released,171
fall,389
think,2614
almost,778
fainted,5
knew,549
entirely,112
grasping,6
reality,215
of,48399
idea,706
then,3708
but,11388
things,2138
are,11090
moving,316
fast,296
now,3421
contract's,1
signed,103
deliverables,1
have,12910
been,4463
sent,279
photos,391
taken,513
we're,472
into,3655
marketing,120
popular,182
bookstores,9
across,471
united,200
states,293
certainly,264
can,5567
tell,900
difference,195
buy,461
maryland,20
crab,25
laurel,8
meat,158
market,285
sweet,520
flavor,121
makes,876
special,454
meals,92
pass,206
venezuelan,3
packages,30
i'd,703
rather,580
cook,281
something,1910
else,557
bland,25
cakes,63
still,2211
make,3171
your,5793
ambition,17
lead,207
quiet,181
life,2037
early,423
morning's,6
action,252
omphoy,1
resort,43
palm,39
beach,175
fl,13
has,5174
surfing,17
classes,152
plastic,144
spatula,21
thingy,8
ma,40
jig,10
sorry,246
not,9599
sure,1376
prominent,29
irish,76
child,515
abuse,57
support,405
group,521
one,7365
four,501
said,1584
cardinal,16
brady,10
previously,83
declared,26
resign,6
if,5809
actions,97
had,6321
resulted,33
unnecessary,27
single,357
should,1600
follow,312
through,1945
promise,126
part,1183
epilogue,3
leaves,251
scratching,10
confusion,43
read,1153
few,2070
times,898
just,5913
author,250
saying,343
too,2183
strange,150
