word1,count
listening,914
to,141736
the,207145
experts,105
from,17751
at's,23
cyberposium,1
now,11713
they,15116
are,27184
awesome,2725
god,2533
i,119472
miss,2304
those,4224
kay,44
thanks,9358
halftime,74
show,4023
strong,719
production,292
she,8627
can,14594
still,6049
move,1163
like,17793
jagger,21
this,31519
week,4711
will,16570
forever,646
be,30539
known,637
as,19982
one,16031
with,35296
all,20991
unexpected,114
meetings,163
whether,652
i'll,3551
accomplish,85
anything,1932
planned,286
is,60044
yet,2246
seen,1453
cruel,62
irony,66
of,87815
game,3585
it,53357
was,28587
pitching,68
and,111703
spot,510
that,48827
let,3448
us,7595
down,4883
course,1664
we,24765
wouldn't,755
have,30194
been,9226
here,6497
without,2051
em,517
thinking,1430
if,16562
really,7501
want,6672
people,8250
come,5375
over,6371
saturday,1311
always,4354
smile,594
bro,803
follow,5005
me,27981
jesus,622
what,17207
wrong,1212
world,3508
guess,1466
i'm,16396
going,7776
run,1815
for,61016
president,604
day,12478
gay,416
marriage,328
legal,237
everywhere,324
when,14054
u,8179
go,9717
thru,273
a,117450
storm,272
found,2021
out,18394
who,10570
ur,1448
real,2399
family,2488
&,9948
friends,2881
o's,44
r,1265
hugs~,1
lmfao,212
made,4320
first,6472
so,26583
bam,41
wins,319
hehehehe,10
ha,981
expect,433
less,1393
would,10161
check,2621
or,15427
streamed,3
online,915
should,5394
great,9561
shot,761
joe,345
average,316
skwirl,1
hopingu,1
listen,787
dig,177
best,4808
success,637
im,3090
gettin,209
into,6025
tonight,4556
though,2784
your,22476
welcome,1506
burns,63
suerte,2
weekly,186
tv,1064
shin,27
do,15911
kumate,1
strykerz,1
fighting,278
skills,333
founder,111
fighter,41
www,1171
shindokumate,2
com,1784
gtown,2
trustees,13
vote,584
d,3038
fancy,165
better,4183
than,6111
pinterest,133
actually,2145
cool,2192
see,9552
them,8608
listed,143
stuffed,102
time,13135
loosen,15
in,73996
house,2644
bookends,3
kindly,47
remove,277
replace,153
w,2642
on,44831
wear,708
drive,795
home,4350
it's,12506
happening,388
you,70286
don't,10114
way,6354
dempster,2
station,388
get,15350
off,5915
at,29499
oakton,1
correct,262
chocolate,802
sprinkled,25
ones,905
right,6590
fish,399
fry,94
where,4963
favorite,1966
place,2618
shrimp,87
ahh,144
extremely,267
jealous,330
am,8052
work,6271
done,2814
today,8671
make,7948
boyscout,1
camping,92
trip,933
someone,2659
saying,1093
pop,447
ill,589
ok,1695
pretty,2595
sure,3922
sopo,1
rec,52
open,1697
bless,256
bunches,23
how,11444
organized,116
coordinated,11
appropriate,155
new,10565
roles,58
what's,1761
sum,166
random,448
chic,61
lol,6988
fantasy,228
living,957
we're,2145
back,8965
to's,49
