word1,word2,count
she,still,4
still,wants,1
wants,to,24
to,remain,6
remain,involved,1
involved,and,1
and,is,28
is,considering,5
considering,sharing,1
sharing,emceeing,1
emceeing,duties,1
duties,with,1
with,murro,1
murro,in,1
in,a,287
a,dual,2
dual,effort,1
effort,to,12
to,promote,5
promote,her,1
her,support,1
support,for,9
for,the,431
the,emmanuel,1
emmanuel,cancer,1
cancer,foundation,1
foundation,a,1
a,charity,1
charity,that,1
that,would,34
would,have,43
have,been,122
been,her,1
her,platform,1
platform,were,1
were,she,2
she,to,1
remain,as,1
as,a,200
a,contestant,1
contestant,and,1
and,to,36
to,repair,4
repair,damaged,1
damaged,relationships,1
relationships,with,3
with,contestants,1
contestants,sure,1
sure,to,5
to,be,302
be,offended,1
offended,by,1
by,this,6
this,story,4
story,before,1
before,encountering,1
encountering,them,1
them,again,4
again,at,1
at,new,4
new,jersey,41
jersey,fashion,1
fashion,week,1
week,possibly,1
possibly,coming,1
coming,to,6
to,hoboken,1
hoboken,later,1
later,this,9
this,fall,4
a,i'm,1
i'm,a,5
a,firm,2
firm,believer,1
believer,in,1
in,keeping,2
keeping,up,1
up,on,16
on,what's,2
what's,trending,1
trending,nationally,1
nationally,among,2
among,the,32
the,categories,1
categories,trending,1
trending,now,1
now,are,2
are,graphic,1
graphic,t,1
t,shirts,5
shirts,wood,1
wood,items,1
items,items,1
items,made,1
made,using,1
using,recycled,1
recycled,materials,1
materials,and,1
and,laser,1
laser,cut,1
cut,designs,1
rates,on,2
on,the,465
the,year,62
year,fixed,2
fixed,rate,1
rate,mortgage,1
mortgage,averaged,1
averaged,for,1
the,week,8
week,ending,1
ending,may,1
may,down,1
down,from,10
from,last,5
last,week,35
week,and,10
and,a,167
a,year,94
year,ago,17
ago,according,1
according,to,119
to,the,537
the,most,76
most,recent,8
recent,freddie,1
freddie,mac,3
mac,survey,1
survey,of,3
of,conforming,1
conforming,rates,1
rates,released,1
released,on,3
on,thursday,19
friedman,was,1
was,sent,3
sent,to,4
to,a,167
a,concentration,1
concentration,camp,2
camp,when,1
when,she,18
she,was,54
was,at,11
at,she,1
she,said,76
said,she,29
she,finds,1
finds,the,2
the,slow,2
slow,pace,2
pace,of,3
of,progress,2
progress,a,1
a,little,39
little,disheartening,1
i,struggle,1
struggle,mightily,1
mightily,with,1
with,the,268
the,steady,2
steady,stream,1
stream,of,2
of,department,1
department,of,31
of,defense,1
defense,alerts,1
alerts,filling,1
filling,my,1
my,inbox,1
inbox,with,1
the,names,6
names,of,4
of,the,1128
the,newly,2
newly,dead,1
dead,most,1
most,of,47
of,them,30
them,were,2
were,in,10
in,their's,2
their's,and,1
and,early's,2
early's,each,1
each,of,3
them,was,1
was,somebody,1
somebody,else's,1
else's,child,1
fox,briar,1
briar,ln,1
the,president,12
president,spoke,1
spoke,during,1
during,a,15
a,west,2
west,coast,2
coast,swing,1
swing,designed,1
designed,to,9
to,highlight,2
highlight,his,1
his,vision,1
vision,of,3
of,making,3
making,the,9
the,u,68
u,s,144
s,more,1
more,competitive,1
competitive,globally,1
globally,before,1
before,the,48
the,visit,2
visit,the,4
the,white,15
white,house,13
house,announced,1
announced,that,3
that,obama,2
obama,had,1
had,picked,1
picked,company,1
company,ceo,1
ceo,paul,1
paul,otellini,1
otellini,a,1
a,sometimes,1
sometimes,critic,1
critic,to,1
to,serve,5
serve,on,1
on,a,156
a,presidential,1
presidential,competitiveness,1
competitiveness,council,1
the,declining,1
declining,dollar,1
dollar,it's,1
it's,great,2
great,for,1
for,parts,1
parts,of,15
the,country,32
country,that,4
that,make,2
make,stuff,1
stuff,hill,1
hill,said,1
said,and,14
and,we're,3
we're,starting,2
starting,to,3
to,see,58
see,the,16
the,benefits,3
benefits,of,5
the,shale,1
shale,gas,1
gas,boom,1
boom,those,1
those,new,1
new,steel,1
steel,jobs,1
jobs,that's,2
that's,all,4
all,pipe,1
pipe,products,1
during,the,70
the,sentencing,2
sentencing,hearing,2
hearing,wednesday,1
wednesday,atf,1
atf,special,1
special,agent,2
agent,matt,1
matt,kirkpatrick,1
kirkpatrick,testified,1
testified,about,1
about,those,2
those,incidents,1
incidents,and,1
and,the,326
the,various,3
various,ways,1
ways,that,2
that,powell,1
powell,used,1
used,or,1
or,tried,1
tried,to,28
to,use,25
use,to,4
to,get,103
get,messages,1
messages,out,1
out,of,126
of,jail,2
both,officers,2
officers,were,4
were,working,1
working,off,1
off,duty,4
duty,jobs,1
jobs,at,3
at,the,374
the,glenwood,1
glenwood,gardens,1
gardens,apartments,1
apartments,near,1
near,decatur,1
decatur,when,1
when,police,3
police,say,11
say,they,16
they,were,71
were,shot,1
shot,and,6
and,killed,3
killed,by,2
by,woodard,1
woodard,barker,1
barker,was,1
was,killed,6
killed,instantly,1
instantly,and,1
and,bryant,1
bryant,later,1
later,died,2
died,of,2
of,his,90
his,wounds,3
reports,alex,1
alex,smith,1
smith,re,1
re,ups,1
ups,with,1
with,san,2
san,francisco,26
francisco,ers,1
i,have,42
have,no,11
no,clue,3
clue,where,1
where,it,8
it,is,107
is,he,1
he,said,174
the,long,18
long,winding,1
winding,road,1
road,cuts,1
cuts,through,1
through,lush,1
lush,forest,1
forest,and,1
and,eventually,5
eventually,leads,1
leads,to,4
a,curving,1
curving,driveway,1
driveway,that,1
that,leads,1
the,doorstep,1
doorstep,of,1
of,mike,1
mike,and,1
and,kate,1
kate,sharadin,1
sharadin,makers,1
makers,of,1
of,fine,2
fine,wine,1
state,higher,1
higher,education,6
education,authorities,1
authorities,still,1
still,need,1
need,to,62
to,issue,2
issue,the,3
the,bonds,1
bonds,the,1
the,portland,9
portland,city,1
city,council,9
council,will,2
will,be,177
be,asked,2
asked,to,14
to,approve,4
approve,housing,1
housing,some,1
some,city,1
city,offices,1
offices,in,2
in,the,1134
the,building,25
building,and,4
and,potentially,1
potentially,help,1
help,pay,2
pay,for,26
for,a,201
a,long,31
long,planned,1
planned,million,1
million,streetcar,1
streetcar,realignment,1
realignment,through,1
through,the,61
the,block,19
i,was,59
was,looking,5
looking,forward,7
forward,to,13
to,going,1
going,against,1
against,jared,1
jared,gaither,1
gaither,but,1
but,they,26
they,needed,1
needed,some,1
some,chip,1
chip,help,1
help,suggs,1
suggs,said,1
said,i,40
i,knew,8
knew,they,2
they,would,15
would,pay,3
pay,me,1
me,some,1
some,attention,1
attention,and,3
and,i,63
a,lot,112
lot,of,78
of,one,9
one,on,4
on,ones,1
ones,but,1
but,i,30
i,didn't,15
didn't,get,3
get,them,5
them,that's,3
that's,my,2
my,fault,2
fault,i,1
i,got,11
got,to,25
to,adjust,3
adjust,accordingly,1
accordingly,and,2
and,not,15
not,let,1
let,it,3
it,affect,1
affect,my,1
my,game,2
game,when,3
when,we,13
we,did,7
did,get,1
get,there,5
there,he,2
he,got,10
got,the,16
the,ball,31
ball,off,1
off,he's,1
he's,a,12
a,great,34
great,quarterback,1
other,lakers,1
lakers,also,1
also,are,6
are,struggling,3
struggling,former,1
former,blazer,1
blazer,steve,1
steve,blake,1
blake,just,1
just,stunk,1
stunk,the,1
the,place,11
place,up,3
up,shooting,2
shooting,for,1
for,all,23
all,three,4
