word1,word2,word3,count
she,still,wants,1
still,wants,to,1
wants,to,remain,1
to,remain,involved,1
remain,involved,and,1
involved,and,is,1
and,is,considering,1
is,considering,sharing,1
considering,sharing,emceeing,1
sharing,emceeing,duties,1
emceeing,duties,with,1
duties,with,murro,1
with,murro,in,1
murro,in,a,1
in,a,dual,1
a,dual,effort,1
dual,effort,to,1
effort,to,promote,1
to,promote,her,1
promote,her,support,1
her,support,for,1
support,for,the,3
for,the,emmanuel,1
the,emmanuel,cancer,1
emmanuel,cancer,foundation,1
cancer,foundation,a,1
foundation,a,charity,1
a,charity,that,1
charity,that,would,1
that,would,have,5
would,have,been,8
have,been,her,1
been,her,platform,1
her,platform,were,1
platform,were,she,1
were,she,to,1
she,to,remain,1
to,remain,as,1
remain,as,a,1
as,a,contestant,1
a,contestant,and,1
contestant,and,to,1
and,to,repair,1
to,repair,damaged,1
repair,damaged,relationships,1
damaged,relationships,with,1
relationships,with,contestants,1
with,contestants,sure,1
contestants,sure,to,1
sure,to,be,1
to,be,offended,1
be,offended,by,1
offended,by,this,1
by,this,story,1
this,story,before,1
story,before,encountering,1
before,encountering,them,1
encountering,them,again,1
them,again,at,1
again,at,new,1
at,new,jersey,1
new,jersey,fashion,1
jersey,fashion,week,1
fashion,week,possibly,1
week,possibly,coming,1
possibly,coming,to,1
coming,to,hoboken,1
to,hoboken,later,1
hoboken,later,this,1
later,this,fall,1
a,i'm,a,1
i'm,a,firm,1
a,firm,believer,1
firm,believer,in,1
believer,in,keeping,1
in,keeping,up,1
keeping,up,on,1
up,on,what's,1
on,what's,trending,1
what's,trending,nationally,1
trending,nationally,among,1
nationally,among,the,1
among,the,categories,1
the,categories,trending,1
categories,trending,now,1
trending,now,are,1
now,are,graphic,1
are,graphic,t,1
graphic,t,shirts,1
t,shirts,wood,1
shirts,wood,items,1
wood,items,items,1
items,items,made,1
items,made,using,1
made,using,recycled,1
using,recycled,materials,1
recycled,materials,and,1
materials,and,laser,1
and,laser,cut,1
laser,cut,designs,1
rates,on,the,1
on,the,year,3
the,year,fixed,2
year,fixed,rate,1
fixed,rate,mortgage,1
rate,mortgage,averaged,1
mortgage,averaged,for,1
averaged,for,the,1
for,the,week,1
the,week,ending,1
week,ending,may,1
ending,may,down,1
may,down,from,1
down,from,last,2
from,last,week,1
last,week,and,3
week,and,a,1
and,a,year,3
a,year,ago,17
year,ago,according,1
ago,according,to,1
according,to,the,36
to,the,most,2
the,most,recent,4
most,recent,freddie,1
recent,freddie,mac,1
freddie,mac,survey,1
mac,survey,of,1
survey,of,conforming,1
of,conforming,rates,1
conforming,rates,released,1
rates,released,on,1
released,on,thursday,1
friedman,was,sent,1
was,sent,to,2
sent,to,a,1
to,a,concentration,1
a,concentration,camp,1
concentration,camp,when,1
camp,when,she,1
when,she,was,3
she,was,at,1
was,at,she,1
at,she,said,1
she,said,she,5
said,she,finds,1
she,finds,the,1
finds,the,slow,1
the,slow,pace,1
slow,pace,of,1
pace,of,progress,1
of,progress,a,1
progress,a,little,1
a,little,disheartening,1
i,struggle,mightily,1
struggle,mightily,with,1
mightily,with,the,1
with,the,steady,1
the,steady,stream,1
steady,stream,of,1
stream,of,department,1
of,department,of,1
department,of,defense,1
of,defense,alerts,1
defense,alerts,filling,1
alerts,filling,my,1
filling,my,inbox,1
my,inbox,with,1
inbox,with,the,1
with,the,names,1
the,names,of,4
names,of,the,1
of,the,newly,1
the,newly,dead,1
newly,dead,most,1
dead,most,of,1
most,of,them,4
of,them,were,1
them,were,in,1
were,in,their's,1
in,their's,and,1
their's,and,early's,1
and,early's,each,1
early's,each,of,1
each,of,them,1
of,them,was,1
them,was,somebody,1
was,somebody,else's,1
somebody,else's,child,1
fox,briar,ln,1
the,president,spoke,1
president,spoke,during,1
spoke,during,a,1
during,a,west,1
a,west,coast,1
west,coast,swing,1
coast,swing,designed,1
swing,designed,to,1
designed,to,highlight,1
to,highlight,his,1
highlight,his,vision,1
his,vision,of,1
vision,of,making,1
of,making,the,2
making,the,u,1
the,u,s,64
u,s,more,1
s,more,competitive,1
more,competitive,globally,1
competitive,globally,before,1
