word1,count
listening,763
to,76310
the,90456
experts,41
from,8166
at's,22
cyberposium,1
now,8083
they,6836
are,15231
awesome,2421
god,1566
i,70023
miss,1951
those,1955
kay,34
thanks,8786
halftime,65
show,3002
strong,372
production,155
she,2981
can,8666
still,3676
move,693
like,11791
jagger,16
this,15692
week,2801
will,9142
forever,449
be,18107
known,177
as,6753
one,8120
with,16633
all,11890
unexpected,41
meetings,96
whether,186
i'll,2740
accomplish,45
anything,1080
planned,112
is,34408
yet,1301
seen,812
cruel,30
irony,43
of,34602
game,2964
it,28431
was,11252
pitching,47
and,42138
spot,307
that,22615
let,2290
us,4705
down,2598
course,681
we,13028
wouldn't,418
have,16380
been,4320
here,3625
without,919
em,467
thinking,916
if,10367
really,4454
want,4493
people,4963
come,3868
over,3087
saturday,847
always,2693
smile,408
bro,795
follow,4672
me,19475
jesus,301
what,10840
wrong,823
world,1987
guess,1083
i'm,12727
going,5393
run,1081
for,37335
president,290
day,8987
gay,320
marriage,177
legal,112
everywhere,189
when,7812
u,7761
go,6956
thru,245
a,59321
storm,164
found,747
out,11326
who,5454
ur,1431
real,1594
family,1156
&,8810
friends,1821
o's,42
r,1077
hugs~,1
lmfao,211
made,1760
first,3081
so,15859
bam,31
wins,270
hehehehe,10
ha,909
expect,229
less,618
would,5005
check,2013
or,6842
streamed,2
online,561
should,3673
great,7489
shot,458
joe,221
average,136
skwirl,1
hopingu,1
listen,598
dig,124
best,3351
success,447
im,3048
gettin,206
into,2061
tonight,4332
though,1476
your,16478
welcome,1299
burns,36
suerte,2
weekly,77
tv,768
shin,11
do,10347
kumate,1
strykerz,1
fighting,162
skills,160
founder,65
fighter,32
www,1087
shindokumate,2
com,1463
gtown,2
trustees,6
vote,427
d,2704
fancy,75
better,2923
than,2981
pinterest,77
actually,1110
cool,1711
see,6480
them,3656
listed,43
stuffed,34
time,7474
loosen,3
in,36734
house,1378
bookends,3
kindly,17
remove,61
replace,72
w,2479
on,26884
wear,429
drive,509
home,2408
it's,8182
happening,254
you,52208
don't,7283
way,3546
dempster,2
station,223
get,10912
off,3533
at,18145
oakton,1
correct,168
chocolate,376
sprinkled,5
ones,432
right,4466
fish,210
fry,33
where,2580
favorite,1241
place,1129
shrimp,40
ahh,138
extremely,95
jealous,305
am,4524
work,4029
done,1767
today,7101
make,4589
boyscout,1
camping,45
trip,524
someone,1925
saying,706
pop,220
ill,511
ok,1377
pretty,1606
sure,2493
sopo,1
rec,48
open,1064
bless,202
bunches,15
how,7351
organized,39
coordinated,3
appropriate,53
new,6777
roles,28
what's,1491
sum,126
random,262
chic,28
lol,6748
fantasy,127
living,473
we're,1603
back,5648
to's,45
old,1706
stomping,8
grounds,19
ned,11
bio,90
by,5708
cutting,87
pasting,2
website,514
need,4955
change,977
send,912
revision,9
post,905
asap,165
thank,3837
tomorrow's,68
friday,1424
believe,1046
miracles,12
weekend,2221
watching,1909
whole,772
load,74
guy,1235
million,331
viewers,25
mtv's,2
most,1773
watched,379
season,1055
premiere,89
ever,2391
jersey,188
shore,68
not,12073
die,415
folks,389
via,465
create,287
aim,50
account,485
because,2241
sadly,107
can't,4422
remember,993
password,81
my,28148
th,1966
grade,176
screen,214
name,1156
phone,1152
sucks,455
call,1791
id,195
shows,444
who's,516
calling,317
already,1393
hung,65
up,11244
smh,431
anybody,235
phoenix,86
any,2679
office,636
space,303
rent,97
got,5472
hes,115
also,1616
quincy,4
mccall,3
dad,458
love,9971
basketball,315
forget,707
raised,71
grandparents,26
plays,165
good,9737
idea,899
enjoy,975
long,1899
beach,363
ya,1220
soon,1892
uprising&,1
hip,159
hop,170
l,286
riots,8
thankfully,31
no,7760
just,14545
general,153
observation,26
their,2694
trickyness,1
following,1330
shit,1593
mom,1120
jacki,1
hey,2557
test,391
tomorrow,2807
only,3822
went,1014
everything,1211
guys,2062
something,2099
exciting,362
happened,415
involves,30
brand,279
macbook,31
pro,195
wait,2596
tell,1845
yeah,2156
why,3789
sports,405
too,5649
much,4190
injury,83
moi,9
well,3735
glad,1451
instagram,164
mysquanda,1
wanna,1433
look,2327
nail,63
art,571
nailnista,1
career,241
warning,89
others,549
kids,1058
same,1721
question,653
fifty,14
times,965
help,1966
but,12388
smirk,2
highroad,1
quickbus,1
rate,135
might,1223
tuesday,384
according,132
reports,97
iowa,64
senate,60
debate,128
state,672
earned,66
income,68
tax,165
credit,172
increase,101
next,2963
yikes,76
apparently,282
